serial_number,model,capacity_bytes,power_on_hours
MJ0351YNG9Z0XA,Hitachi HDS5C3030ALA630,3000592982016,36714
MJ0351YNG9WJSA,Hitachi HDS5C3030ALA630,3000592982016,36780
PL1321LAG34XWH,Hitachi HDS5C4040ALE630,4000787030016,33373
MJ0351YNGABYAA,Hitachi HDS5C3030ALA630,3000592982016,35424
Z305B2QN,ST4000DM000,4000787030016,9195
PL2331LAGN2YTJ,HGST HMS5C4040BLE640,4000787030016,23221
WD-WMC4N2899475,WDC WD30EFRX,3000592982016,20972
MJ1311YNG7ESHA,Hitachi HDS5C3030ALA630,3000592982016,41403
PL2331LAGN3UVJ,HGST HMS5C4040BLE640,4000787030016,22763
WD-WX61A35NJXKT,WDC WD5000LPVX,500107862016,7657
PL2331LAHDUVVJ,HGST HMS5C4040BLE640,4000787030016,6105
ZA10JDYK,ST8000DM002,8001563222016,5323
PL1311LAG3A84H,Hitachi HDS5C4040ALE630,4000787030016,32877
Z300CMV1,ST4000DM000,4000787030016,29077
PL1331LAGSNKMH,HGST HMS5C4040ALE640,4000787030016,21540
